"YR_MO","CALL_DATE","AGENT_KEY","CALLS","HANDLE_TIME","CALL_REGEN","CALLS_WITH_OFFER","CALLS_WITH_ACCEPT","CALLS_OFFER_APPLIED","TRANSFERS"
201706,2017-06-10,12473,31,25693,7,30,21,13,2
201706,2017-06-10,12474,33,24827,8,28,20,16,3
201706,2017-06-10,12475,31,24715,6,28,22,14,3
201706,2017-06-10,12476,35,24305,7,34,29,22,4
201706,2017-06-10,12477,34,24749,5,29,23,17,2
201706,2017-06-10,12478,33,24722,8,28,22,16,3
201706,2017-06-10,12479,33,25032,8,33,26,16,3
201706,2017-06-10,12480,30,24653,7,26,20,16,3
201706,2017-06-10,12482,29,24115,6,26,21,12,3
201706,2017-06-10,12483,32,25632,8,30,22,12,3
201706,2017-06-10,12484,32,25800,10,28,21,10,4
201706,2017-06-10,12485,30,25484,6,28,18,8,3
201706,2017-06-10,12486,33,24368,7,30,18,9,3
201706,2017-06-10,12488,32,25754,7,28,22,9,4
201706,2017-06-10,12489,30,25963,8,26,18,7,4
201706,2017-06-11,12465,34,25112,6,32,27,20,2
201706,2017-06-11,12466,39,25873,8,36,26,20,2
201706,2017-06-11,12467,33,25916,6,33,28,22,2
201706,2017-06-11,12468,36,24940,5,32,26,23,2
201706,2017-06-11,12469,36,25677,4,34,24,20,3
201706,2017-06-11,12471,37,25124,6,34,24,21,2
201706,2017-06-11,12472,32,24518,5,29,21,18,2
201706,2017-06-12,12465,37,24054,5,34,26,20,3
201706,2017-06-12,12466,35,24333,5,35,27,23,2
201706,2017-06-12,12467,32,25052,4,29,25,20,2
201706,2017-06-12,12468,35,25789,6,32,26,23,2
201706,2017-06-12,12469,36,24254,5,33,28,20,3
201706,2017-06-12,12470,35,25640,7,34,26,21,2
201706,2017-06-12,12471,39,25616,6,39,34,30,2
201706,2017-06-12,12472,39,25628,7,37,29,26,2
201706,2017-06-12,12473,33,25101,5,32,21,13,3
201706,2017-06-12,12474,36,24764,7,34,22,17,3
201706,2017-06-12,12475,31,25423,5,30,24,15,2
201706,2017-06-12,12476,33,24978,8,28,22,14,3
201706,2017-06-12,12477,30,24600,5,26,19,12,2
201706,2017-06-12,12478,30,24351,7,26,21,17,2
201706,2017-06-12,12479,31,25601,6,31,24,16,3
201706,2017-06-12,12480,30,24575,6,29,22,16,2
201706,2017-06-12,12482,32,24390,9,29,19,12,4
201706,2017-06-12,12483,28,24771,7,25,16,7,3
201706,2017-06-12,12484,30,25938,8,28,18,9,4
201706,2017-06-12,12485,31,24852,9,28,22,12,3
201706,2017-06-12,12486,33,24300,10,30,22,15,4
201706,2017-06-12,12487,30,24364,7,29,22,10,3
201706,2017-06-12,12488,33,25931,8,30,20,10,3
201706,2017-06-12,12489,30,25077,8,28,18,8,3
201706,2017-06-13,12465,38,24225,7,38,31,22,2
201706,2017-06-13,12466,32,24358,5,29,23,20,2
201706,2017-06-13,12467,39,25627,8,39,28,24,2
201706,2017-06-13,12468,35,24285,5,33,25,22,2
201706,2017-06-13,12469,36,24365,7,34,31,24,2
201706,2017-06-13,12470,40,24054,4,40,30,22,3
201706,2017-06-13,12471,40,24848,5,38,30,22,2
201706,2017-06-13,12472,33,24059,5,30,25,22,2
201706,2017-06-13,12473,36,25313,8,36,30,23,3
201706,2017-06-13,12474,31,24296,7,27,22,13,3
201706,2017-06-13,12475,36,24086,9,35,30,22,3
201706,2017-06-13,12476,31,24266,6,26,18,14,2
201706,2017-06-13,12477,30,25088,6,26,21,17,2
201706,2017-06-13,12478,35,25524,6,32,25,15,2
201706,2017-06-13,12479,32,24521,5,32,22,17,3
201706,2017-06-13,12480,33,24136,8,31,24,16,3
201706,2017-06-13,12482,28,25248,7,25,16,7,3
201706,2017-06-13,12483,33,24509,9,29,20,11,4
201706,2017-06-13,12484,30,25099,7,29,21,12,3
201706,2017-06-13,12485,30,25821,7,26,18,9,3
201706,2017-06-13,12486,29,24997,8,25,17,10,3
201706,2017-06-13,12487,29,25258,9,27,20,13,3
201706,2017-06-13,12488,28,25534,7,25,17,9,3
201706,2017-06-14,12473,32,24120,5,30,20,13,3
201706,2017-06-14,12474,33,24794,7,33,22,16,3
201706,2017-06-14,12475,32,24180,6,27,22,15,3
201706,2017-06-14,12476,31,25638,6,29,24,18,2
201706,2017-06-14,12477,34,24860,9,32,24,18,3
201706,2017-06-14,12478,34,25650,7,29,22,18,3
201706,2017-06-14,12479,31,25379,5,29,24,15,3
201706,2017-06-14,12480,34,25106,5,32,24,16,3
201706,2017-06-14,12482,29,25780,7,26,17,11,3
201706,2017-06-14,12483,32,24071,8,28,21,8,3
201706,2017-06-14,12484,30,25430,6,26,21,15,4
201706,2017-06-14,12485,33,24212,7,31,20,8,3
201706,2017-06-14,12486,32,24195,10,28,21,8,3
201706,2017-06-14,12487,31,24281,7,27,18,13,3
201706,2017-06-14,12488,32,24224,10,30,23,10,4
201706,2017-06-15,12465,37,24964,7,36,26,20,3
201706,2017-06-15,12466,38,24384,5,36,27,23,2
201706,2017-06-15,12467,33,24242,4,31,22,17,2
201706,2017-06-15,12468,37,24532,7,34,24,21,3
201706,2017-06-15,12469,38,25483,6,35,25,18,2
201706,2017-06-15,12470,39,24309,4,38,33,29,3
201706,2017-06-15,12471,36,24525,7,36,30,26,2
201706,2017-06-15,12472,34,25618,6,33,25,22,2
201706,2017-06-15,12482,30,24928,6,27,18,10,4
201706,2017-06-15,12483,30,25292,7,27,21,10,3
201706,2017-06-15,12484,30,24578,8,27,20,13,4
201706,2017-06-15,12485,31,25076,7,29,18,8,3
201706,2017-06-15,12486,33,24411,9,31,20,11,3
201706,2017-06-15,12487,31,25027,7,29,21,11,4
201706,2017-06-15,12488,32,25279,8,28,22,10,3
201706,2017-06-15,12489,31,24755,9,27,19,13,3
201706,2017-06-16,12465,34,24992,6,33,30,22,2
201706,2017-06-16,12466,37,24072,6,36,31,23,2
201706,2017-06-16,12467,33,24745,6,33,29,23,2
201706,2017-06-16,12468,39,24109,7,35,25,20,2
201706,2017-06-16,12469,38,25170,4,34,28,25,3
201706,2017-06-16,12470,32,24063,5,32,28,22,2
201706,2017-06-16,12471,39,24461,7,37,29,21,2
201706,2017-06-16,12472,37,25013,5,37,28,25,3
201706,2017-06-16,12473,35,24466,7,32,25,17,4
201706,2017-06-16,12474,35,25235,9,32,23,18,3
201706,2017-06-16,12475,35,24522,7,34,28,17,2
201706,2017-06-16,12476,31,24278,7,29,23,16,3
201706,2017-06-16,12477,36,25556,6,36,27,22,4
201706,2017-06-16,12478,36,25345,6,32,24,16,3
201706,2017-06-16,12479,35,24439,7,31,24,19,2
201706,2017-06-16,12480,36,24333,8,35,30,23,3
201706,2017-06-17,12473,36,24686,9,33,24,14,3
201706,2017-06-17,12474,36,25762,8,32,21,14,3
201706,2017-06-17,12475,30,24547,5,30,24,17,3
201706,2017-06-17,12476,35,24538,7,30,25,16,3
201706,2017-06-17,12477,35,24230,9,31,24,19,3
201706,2017-06-17,12478,33,24803,7,29,21,14,3
201706,2017-06-17,12479,31,25658,7,29,21,14,2
201706,2017-06-17,12483,33,24736,10,30,22,10,4
201706,2017-06-17,12484,28,25057,6,25,15,9,3
201706,2017-06-17,12485,31,24706,9,28,17,10,3
201706,2017-06-17,12486,32,24475,9,30,23,13,4
201706,2017-06-17,12487,33,25027,8,29,20,10,3
201706,2017-06-17,12488,29,24553,8,25,18,7,3
201706,2017-06-17,12489,30,25304,8,26,20,8,3
201706,2017-06-18,12465,38,24530,6,38,31,24,3
201706,2017-06-18,12466,36,24803,6,34,28,20,2
201706,2017-06-18,12467,35,24704,7,34,30,27,2
201706,2017-06-18,12469,34,24731,6,33,28,20,2
201706,2017-06-18,12470,35,24578,5,34,25,19,2
201706,2017-06-18,12471,40,25603,6,36,31,22,2
201706,2017-06-18,12472,36,25324,5,35,32,28,2
201706,2017-06-19,12465,34,25904,4,33,23,19,2
201706,2017-06-19,12466,34,25965,5,34,24,18,2
201706,2017-06-19,12467,37,25987,5,35,30,27,2
201706,2017-06-19,12469,32,25869,4,29,21,15,2
201706,2017-06-19,12470,33,25193,4,30,25,21,2
201706,2017-06-19,12471,38,25133,7,36,29,26,3
201706,2017-06-19,12472,34,25478,3,31,25,19,2
201706,2017-06-19,12473,33,25323,7,31,20,12,2
201706,2017-06-19,12474,31,25994,6,31,24,15,2
201706,2017-06-19,12475,31,24574,7,30,20,15,3
201706,2017-06-19,12476,34,25248,7,33,22,17,3
201706,2017-06-19,12477,35,24525,6,34,23,16,3
201706,2017-06-19,12478,34,24801,7,30,25,17,2
201706,2017-06-19,12479,34,24894,9,32,24,15,2
201706,2017-06-19,12480,36,24064,6,34,24,15,4
201706,2017-06-19,12482,28,24476,8,24,17,10,3
201706,2017-06-19,12483,29,25706,7,25,17,9,3
201706,2017-06-19,12484,28,25330,7,25,17,10,3
201706,2017-06-19,12485,29,25089,6,28,19,11,3
201706,2017-06-19,12486,31,25130,8,28,17,9,3
201706,2017-06-19,12487,32,24439,7,28,20,8,3
201706,2017-06-19,12488,32,24644,10,27,17,9,4
201706,2017-06-19,12489,30,24275,8,27,16,7,3
201706,2017-06-20,12465,38,25383,5,34,29,26,2
201706,2017-06-20,12466,33,25500,5,31,26,22,2
201706,2017-06-20,12467,36,24117,4,34,24,21,2
201706,2017-06-20,12468,36,25417,6,33,26,21,2
201706,2017-06-20,12469,34,25318,4,33,24,21,2
201706,2017-06-20,12470,32,25872,4,30,23,20,2
201706,2017-06-20,12471,40,24078,5,36,29,26,3
201706,2017-06-20,12472,39,25301,5,37,33,28,2
201706,2017-06-20,12473,34,24609,5,33,23,16,3
201706,2017-06-20,12474,30,25074,6,27,20,14,3
201706,2017-06-20,12475,36,25109,9,32,27,19,3
201706,2017-06-20,12476,31,24208,6,31,23,18,3
201706,2017-06-20,12477,30,25999,5,27,19,12,3
201706,2017-06-20,12478,33,25280,7,31,26,20,3
201706,2017-06-20,12479,32,24094,7,28,23,17,3
201706,2017-06-20,12480,30,25474,6,30,25,17,3
201706,2017-06-20,12482,32,25351,7,29,20,9,4
201706,2017-06-20,12483,33,25249,8,29,22,15,3
201706,2017-06-20,12484,32,24314,8,30,24,13,3
201706,2017-06-20,12485,31,24461,7,28,18,12,3
201706,2017-06-20,12486,28,24849,7,25,16,10,3
201706,2017-06-20,12487,32,25815,6,28,21,13,4
201706,2017-06-20,12488,33,25663,9,29,21,13,3
201706,2017-06-20,12489,30,24525,6,26,16,10,3
201706,2017-06-21,12473,30,25961,5,26,18,12,2
201706,2017-06-21,12474,35,24828,5,30,25,18,2
201706,2017-06-21,12475,33,25290,5,29,21,15,3
201706,2017-06-21,12476,36,25435,8,36,30,20,3
201706,2017-06-21,12477,34,25384,7,33,25,16,2
201706,2017-06-21,12478,31,24942,7,30,23,18,2
201706,2017-06-21,12479,33,24263,6,32,22,16,3
201706,2017-06-21,12480,33,24495,5,29,24,19,2
201706,2017-06-21,12482,31,24503,8,27,19,8,3
201706,2017-06-21,12483,33,24739,8,29,22,15,3
201706,2017-06-21,12484,30,25861,6,26,19,8,3
201706,2017-06-21,12485,33,25991,7,31,20,9,4
201706,2017-06-21,12486,30,25211,6,28,19,8,3
201706,2017-06-21,12487,30,24435,7,28,17,12,4
201706,2017-06-21,12488,32,25752,8,30,19,9,4
201706,2017-06-22,12465,37,24015,5,34,28,24,3
201706,2017-06-22,12466,37,24909,7,36,27,23,2
201706,2017-06-22,12467,37,24967,6,36,28,23,3
201706,2017-06-22,12468,37,24498,6,36,31,23,2
201706,2017-06-22,12469,39,24219,8,36,26,18,3
201706,2017-06-22,12470,34,25883,4,32,26,20,2
201706,2017-06-22,12471,32,25289,4,30,23,16,2
201706,2017-06-22,12472,32,24024,4,31,24,20,2
201706,2017-06-22,12482,32,25871,9,30,18,12,4
201706,2017-06-22,12483,28,24942,6,26,21,9,3
201706,2017-06-22,12484,32,24610,9,29,17,8,4
201706,2017-06-22,12485,28,24503,8,25,18,8,3
201706,2017-06-22,12486,33,24692,9,28,22,14,4
201706,2017-06-22,12487,32,25331,6,28,17,9,4
201706,2017-06-22,12488,32,25512,6,29,23,16,4
201706,2017-06-22,12489,29,25387,6,26,19,13,3
201706,2017-06-23,12465,40,25482,8,36,26,22,3
201706,2017-06-23,12466,38,25830,6,36,32,26,3
201706,2017-06-23,12467,40,24117,5,39,34,25,3
201706,2017-06-23,12468,37,25440,5,36,30,27,2
201706,2017-06-23,12469,37,25015,7,34,28,22,2
201706,2017-06-23,12470,34,25810,7,34,29,24,2
201706,2017-06-23,12471,32,24821,5,29,26,19,2
201706,2017-06-23,12472,32,25053,4,30,23,16,2
201706,2017-06-23,12473,33,25796,5,30,23,18,3
201706,2017-06-23,12474,33,25692,6,28,19,12,3
201706,2017-06-23,12475,34,25909,7,32,27,18,3
201706,2017-06-23,12476,34,25948,5,33,28,20,2
201706,2017-06-23,12477,34,24301,7,33,27,18,2
201706,2017-06-23,12478,31,24216,7,29,21,17,3
201706,2017-06-23,12479,31,24889,6,28,21,16,2
201706,2017-06-23,12480,34,25640,7,34,22,13,2
201706,2017-06-24,12473,35,25364,8,30,21,15,4
201706,2017-06-24,12474,34,25550,8,29,21,16,3
201706,2017-06-24,12475,32,24173,5,28,19,13,2
201706,2017-06-24,12476,36,25665,6,32,23,17,3
201706,2017-06-24,12477,34,25426,6,29,20,12,2
201706,2017-06-24,12478,36,24439,9,32,21,14,3
201706,2017-06-24,12479,32,25947,7,32,23,18,3
201706,2017-06-24,12480,30,24198,7,26,22,13,3
201706,2017-06-24,12482,31,25735,8,29,22,13,4
201706,2017-06-24,12483,32,24243,6,28,18,10,4
201706,2017-06-24,12484,28,24632,6,25,18,9,3
201706,2017-06-24,12485,28,24047,7,26,17,10,3
201706,2017-06-24,12486,33,25566,9,29,22,13,3
201706,2017-06-24,12487,31,24539,8,28,18,12,4
201706,2017-06-24,12488,29,25136,6,26,18,8,3
201706,2017-06-25,12465,34,24736,7,32,27,20,2
201706,2017-06-25,12466,32,24993,6,31,26,23,2
201706,2017-06-25,12467,36,24623,4,36,30,24,3
201706,2017-06-25,12468,35,25330,4,34,24,18,2
201706,2017-06-25,12469,32,24981,5,29,21,19,2
201706,2017-06-25,12470,38,24513,5,36,28,25,2
201706,2017-06-25,12471,39,25678,6,36,32,25,2
201706,2017-06-25,12472,32,25840,6,31,27,22,2
201706,2017-06-26,12465,38,25559,4,38,27,23,2
201706,2017-06-26,12466,32,25420,4,31,28,21,2
201706,2017-06-26,12467,38,24943,6,36,29,20,2
201706,2017-06-26,12468,34,25724,4,32,26,21,2
201706,2017-06-26,12469,37,25319,7,36,28,24,2
201706,2017-06-26,12470,39,25776,6,36,27,24,2
201706,2017-06-26,12471,32,25500,6,29,22,16,2
201706,2017-06-26,12473,35,24167,7,34,27,19,4
201706,2017-06-26,12474,31,24417,6,29,22,13,2
201706,2017-06-26,12475,33,24192,5,28,18,14,2
201706,2017-06-26,12476,32,24392,7,31,20,13,3
201706,2017-06-26,12477,35,24592,7,31,23,16,2
201706,2017-06-26,12478,30,25676,6,26,17,10,2
201706,2017-06-26,12479,31,25916,6,27,20,14,2
201706,2017-06-26,12480,30,25268,5,30,23,14,3
201706,2017-06-26,12482,31,25213,9,27,17,10,3
201706,2017-06-26,12483,33,25340,7,31,20,8,4
201706,2017-06-26,12484,29,24320,6,26,16,9,3
201706,2017-06-26,12485,33,25032,10,30,21,12,3
201706,2017-06-26,12486,32,25879,9,29,20,8,4
201706,2017-06-26,12487,28,24597,8,25,19,11,3
201706,2017-06-26,12488,32,25530,8,29,22,10,3
201706,2017-06-27,12465,33,25092,4,32,24,18,1
201706,2017-06-27,12466,40,25255,6,38,33,24,2
201706,2017-06-27,12467,38,24657,7,36,32,29,2
201706,2017-06-27,12468,36,24551,4,33,26,21,1
201706,2017-06-27,12469,32,25591,5,30,25,21,2
201706,2017-06-27,12470,32,25783,6,29,23,18,2
201706,2017-06-27,12471,32,24685,4,31,28,20,2
201706,2017-06-27,12472,36,25414,6,33,28,23,2
201706,2017-06-27,12473,32,25818,8,31,26,20,2
201706,2017-06-27,12474,36,25003,9,33,24,16,2
201706,2017-06-27,12475,31,24551,6,28,23,17,2
201706,2017-06-27,12476,34,25072,6,33,22,14,2
201706,2017-06-27,12477,31,25783,5,29,23,15,2
201706,2017-06-27,12478,34,25380,6,34,22,15,2
201706,2017-06-27,12479,30,24035,7,27,18,11,2
201706,2017-06-27,12480,30,24043,6,29,20,13,2
201706,2017-06-27,12482,31,25543,8,27,19,13,3
201706,2017-06-27,12483,30,24313,9,27,20,12,4
201706,2017-06-27,12484,29,24609,6,25,17,12,3
201706,2017-06-27,12485,32,25697,7,30,22,15,4
201706,2017-06-27,12486,28,25575,6,27,21,12,3
201706,2017-06-27,12487,28,24157,8,27,19,13,4
201706,2017-06-27,12488,29,24857,8,26,16,8,3
201706,2017-06-27,12489,33,24347,8,28,20,13,3
201706,2017-06-28,12473,35,24356,7,34,24,17,2
201706,2017-06-28,12474,34,24712,6,32,24,17,2
201706,2017-06-28,12475,30,24258,7,26,22,15,2
201706,2017-06-28,12476,31,25362,7,31,26,16,2
201706,2017-06-28,12477,30,24847,7,26,17,12,2
201706,2017-06-28,12478,34,24119,8,31,26,19,2
201706,2017-06-28,12479,31,24811,6,30,23,16,2
201706,2017-06-28,12480,30,24926,6,29,23,18,2
201706,2017-06-28,12482,33,25205,9,29,20,14,4
201706,2017-06-28,12483,32,25874,7,28,18,13,4
201706,2017-06-28,12484,28,24836,7,26,19,13,3
201706,2017-06-28,12485,30,24667,8,26,20,14,3
201706,2017-06-28,12486,29,25996,7,27,21,13,4
201706,2017-06-28,12487,28,25965,6,25,17,12,3
201706,2017-06-28,12488,31,24875,9,27,21,11,4
201706,2017-06-28,12489,30,25650,9,27,21,11,4
201706,2017-06-29,12465,35,24169,4,33,27,22,1
201706,2017-06-29,12466,33,25013,4,30,24,19,2
201706,2017-06-29,12467,33,25364,7,32,25,19,2
201706,2017-06-29,12468,38,25254,4,34,31,27,2
201706,2017-06-29,12469,39,24597,7,38,32,27,1
201706,2017-06-29,12470,34,24963,5,32,28,23,2
201706,2017-06-29,12471,37,24087,4,37,27,22,1
201706,2017-06-29,12472,40,24290,6,38,28,23,2
201706,2017-06-29,12483,30,24160,6,27,21,13,3
201706,2017-06-29,12484,31,24062,6,29,20,10,4
201706,2017-06-29,12485,32,24305,9,30,23,12,3
201706,2017-06-29,12486,33,25324,9,30,19,13,3
201706,2017-06-29,12487,31,25421,8,28,21,11,3
201706,2017-06-29,12488,29,25508,7,28,18,11,3
201706,2017-06-29,12489,30,25267,7,26,20,12,4
201706,2017-06-30,12465,39,25409,4,35,27,21,2
201706,2017-06-30,12466,39,25333,6,38,27,20,2
201706,2017-06-30,12467,36,24107,5,33,29,22,2
201706,2017-06-30,12468,40,24556,7,37,27,23,1
201706,2017-06-30,12469,32,24597,6,30,24,22,1
201706,2017-06-30,12470,33,24472,5,32,28,23,1
201706,2017-06-30,12471,40,25975,4,36,25,21,2
201706,2017-06-30,12472,36,25683,5,36,32,22,1
201706,2017-06-30,12473,33,25987,5,28,23,14,2
201706,2017-06-30,12474,33,25948,6,31,21,15,2
201706,2017-06-30,12475,34,24058,8,34,29,19,2
