Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured
192851,"September 18, 2014",Florida,Bell,2550 NW 29th Terrace,8,0
191416,"September 15, 2014",Louisiana,New Orleans,Chef Menteur Highway and Dale Street,0,5
190874,"September 14, 2014",Texas,Flour Bluff,229 Naval Air Station Drive,3,1
2172621,"September 14, 2014",Texas,Corpus Christi,229 NAS Dr,3,1
190599,"September 14, 2014",Alaska,Anchorage,225 E Fifth,0,6
189562,"September 11, 2014",Michigan,Detroit,14000 block of Patton,1,7
188332,"September 6, 2014",Florida,Orlando,2015 Orange Blossom Trail,0,4
186488,"September 6, 2014",Georgia,Macon,576 Poplar Street,0,5
185393,"September 4, 2014",Michigan,Flint,2400 block of Martin Luther King Boulevard,0,5
185430,"September 3, 2014",California,Los Angeles,East 27th and Stanford ,0,6
184507,"September 2, 2014",California,Highland,25000 block of Fifth Street ,0,5
185196,"September 2, 2014",Mississippi,Jackson,3622 Medgar Evers Boulevard,2,3
183432,"August 31, 2014",California,Livermore,200 block of South Q Street ,0,5
182974,"August 29, 2014",Florida,Brooksville,820 Peach St,3,1
181947,"August 27, 2014",Michigan,Detroit,16600 block of Edmore,1,3
180580,"August 24, 2014",Georgia,Augusta,1013 Carrie Street,1,3
180007,"August 24, 2014",California,San Fernando,1400 block of Celis Street ,3,4
180018,"August 24, 2014",Illinois,Chicago,8300 block of South Halsted Street,1,3
178425,"August 20, 2014",Tennessee,Memphis,1400 block of Briarcrest Lane,0,5
178006,"August 18, 2014",Louisiana,Saint Martinville,Main and Hyacinth streets,0,4
175943,"August 17, 2014",Massachusetts,Boston,Edinboro Street,0,4
177770,"August 17, 2014",California,East Palo Alto,Purdue Street and Georgetown Avenue,1,3
175839,"August 17, 2014",Nevada,Las Vegas,Owens Avenue and H Street,0,4
175911,"August 17, 2014",New York,Queens,153-38 118th Ave,0,4
175779,"August 16, 2014",New Jersey,Plainfield,West 3rd Street and Monroe Avenue,1,3
175788,"August 16, 2014",Utah,Salt Lake City,122 Pierpont Avenue,0,6
174560,"August 14, 2014",Tennessee,Memphis,797 Pope Street,1,3
174544,"August 13, 2014",Tennessee,Clarksville,Treeland Drive,0,4
175767,"August 13, 2014",Louisiana,New Orleans,New Orleans and North Rocheblave streets,0,4
173369,"August 12, 2014",New York,Buffalo,Oakmont Ave,1,3
173628,"August 12, 2014",Georgia,Cartersville,Brent Cir,2,3
172304,"August 10, 2014",Louisiana,New Orleans,5400 block of Burgundy St,2,5
172205,"August 10, 2014",District of Columbia,Washington,50 block of N St SW,0,6
172288,"August 10, 2014",Georgia,Wrightsville,2455 Idylwild Dr,0,6
172180,"August 10, 2014",California,Moreno Valley,16300 block of Heather Glen Road ,0,7
171802,"August 9, 2014",Minnesota,Minneapolis,400 3rd Ave N,1,8
173786,"August 8, 2014",District of Columbia,Washington,2nd St NE and Todd Pl NE,0,4
171778,"August 8, 2014",Wisconsin,Milwaukee,3000 block of N. 28th Street ,0,4
171823,"August 8, 2014",New Mexico,Albuquerque,3426 Vassar NE,1,3
170704,"August 6, 2014",California,Bakersfield,1700 block of Quincy Street ,3,1
169326,"August 4, 2014",Georgia,Atlanta,1100 block of Joseph E. Boone Boulevard NW,0,5
168844,"August 3, 2014",Virginia,Culpeper,14458 Rixeyville Rd,5,0
168551,"August 3, 2014",Texas,Humble,3403 FM 1960,0,7
168786,"August 3, 2014",Missouri,Saint Louis,5200 block of Thekla ,0,5
169024,"August 3, 2014",Tennessee,Columbia,East 9th Street and Bridge Street,0,5
167872,"August 2, 2014",Texas,Dallas,5125 Wynell Street,3,1
168307,"August 2, 2014",Pennsylvania,Pittsburgh,Penn Avenue and 29th Street,1,5
168169,"August 2, 2014",Massachusetts,New Bedford,Acushnet Avenue,0,7
167649,"August 1, 2014",Pennsylvania,Philadelphia,1500 block of South Etting Street,1,3
176329,"July 30, 2014",North Carolina,Hope Mills,5109 New Moon Dr,3,4
165856,"July 28, 2014",Pennsylvania,Philadelphia,4900 block of North Front Street,1,4
165089,"July 27, 2014",Missouri,Saint Louis,2000 block of East John Avenue,0,5
166970,"July 26, 2014",Arkansas,Pine Bluff,Third Ave and Redbud St,1,3
163930,"July 26, 2014",Georgia,Sylvester,Royal Street,0,8
164513,"July 26, 2014",Maine,Saco,35 Water Street,5,0
163874,"July 25, 2014",Illinois,Chicago,700 S California Ave,1,6
162687,"July 23, 2014",Pennsylvania,Braddock,700 block of Hickory St,0,4
161302,"July 21, 2014",New Jersey,Irvington,36 Welland Avenue,0,6
162008,"July 21, 2014",Tennessee,Memphis,300 block of Foote Park Lane,0,4
161063,"July 20, 2014",Nevada,Las Vegas,3400 block of N Rancho Dr,1,3
160998,"July 20, 2014",Illinois,East Saint Louis,5103 block of Bunkum Rd,1,3
160488,"July 19, 2014",Illinois,Chicago,1300 North Mason Avenue,0,4
158387,"July 14, 2014",California,Sacramento,Fulton Avenue ,1,4
159291,"July 13, 2014",District of Columbia,Washington,1700 block of Lincoln Rd NE,0,4
158589,"July 13, 2014",Connecticut,Stamford,84 West Park Place,0,5
158306,"July 13, 2014",Washington,Skyway,12600 Renton Avenue South ,0,5
157857,"July 12, 2014",California,Pasadena,1700 block of Summit Avenue,3,2
157580,"July 11, 2014",Illinois,Chicago,5200 West Quincy Street,1,3
156670,"July 9, 2014",Texas,Spring,711 Leaflet Ln,6,1
156468,"July 8, 2014",Rhode Island,Providence,35 March Street,0,5
162305,"July 7, 2014",Kentucky,Stopover,KY 194E,0,4
155943,"July 7, 2014",California,San Bernardino,312  E Baseline Street ,1,4
156125,"July 6, 2014",Florida,Miami,NW 20th Ave and NW 62nd St,2,2
155412,"July 6, 2014",Missouri,Saint Louis,4600 block of Natural Bridge Avenue,0,4
155755,"July 6, 2014",New York,Buffalo,100 block of Erb Street,0,4
154971,"July 5, 2014",Oregon,Portland,333 SE 122nd Ave,1,4
154834,"July 5, 2014",Virginia,Norfolk,861 W. 36th Street,0,7
154721,"July 5, 2014",Indiana,Indianapolis,Broad Ripple Avenue,0,7
158055,"July 5, 2014",Illinois,Centreville,4700 Piggott Avenue,0,5
154803,"July 5, 2014",Texas,Houston,1700 Almeda-Genoa,0,6
154844,"July 4, 2014",Virginia,Norfolk,1722 Thurgood Street,0,5
156834,"July 2, 2014",Pennsylvania,Chester,1400 block of West Congress Street,0,5
153275,"June 30, 2014",Kentucky,Lexington,Scottsdale Circle,1,3
152468,"June 29, 2014",Louisiana,New Orleans,700 block of Bourbon St,1,9
153648,"June 29, 2014",Missouri,Saint Louis,2800 block of Dayton,0,4
152693,"June 29, 2014",California,Los Angeles,1100 block of North Vermont Avenue,1,5
152960,"June 28, 2014",California,Antioch,5500 Cedar Point Way,0,7
153578,"June 28, 2014",New York,Manhattan,Fifth Avenue and West 139th Street,0,4
152722,"June 27, 2014",California,San Diego,1600 block of Cathy Street,1,3
151659,"June 26, 2014",Wisconsin,Milwaukee,24th and Locust,0,5
157018,"June 26, 2014",Michigan,Detroit,Grand St,2,2
151475,"June 25, 2014",Massachusetts,Lowell,Midland Street,0,5
150299,"June 24, 2014",Florida,Miami,Northwest 12th Avenue and 65th Street,2,7
154136,"June 22, 2014",California,Windsor,Windsor Avenue,1,3
150344,"June 21, 2014",Tennessee,Memphis,2119 East Alcy Road,0,5
149954,"June 21, 2014",District of Columbia,Washington,Florida Ave NW and U St NW,0,4
157013,"June 20, 2014",Maryland,Seat Pleasant,6600 block of Greig Street,0,4
146565,"June 15, 2014",Indiana,Kokomo,5100 Clinton Drive,0,4
146586,"June 15, 2014",Illinois,Park Forest,200 Berry Street,0,4
149706,"June 13, 2014",California,Los Angeles,8600 block of South Figueroa Street,3,1
156245,"June 9, 2014",New Jersey,Paterson,Rosa Parks Boulevard and Godwin Avenue,0,6
144524,"June 8, 2014",Florida,Fort Myers,17372 Phlox Drive,5,0
144565,"June 8, 2014",Alabama,Opp,611 Hardin Street,1,4
143723,"June 7, 2014",South Carolina,Moncks Corner,Tish Lane,1,5
143979,"June 7, 2014",Michigan,Oak Park,10811 W. Ten Mile Rd.,1,3
142822,"June 4, 2014",Illinois,Chicago,4900 West West End Avenue,1,3
142818,"June 3, 2014",Georgia,Atlanta,Auburn Avenue,1,4
142076,"June 2, 2014",Illinois,Chicago,2660 E. 79th St,0,7
141382,"June 1, 2014",Illinois,Chicago,West Ferdinand Street and North Lavergne Avenue ,1,5
141792,"June 1, 2014",California,Sacramento,6500 46th Street,0,4
153532,"May 31, 2014",California,San Bernardino,800 block of West Victoria St,1,3
139281,"May 25, 2014",Ohio,Toledo,2100 block of Joffre Avenue,1,3
138567,"May 24, 2014",Michigan,Detroit,Strathmoor St,0,4
138645,"May 24, 2014",South Carolina,Myrtle Beach,104 N Ocean Blvd,3,1
140185,"May 23, 2014",Louisiana,New Orleans,6200 block of Eads Street,1,7
138282,"May 23, 2014",California,Goleta,840 Embarcadero del Norte,4,7
138370,"May 23, 2014",California,Bellflower,9541 Flower Street,2,2
142123,"May 21, 2014",Texas,Dallas,4500 block of Village Fair Drive,1,3
135904,"May 18, 2014",Ohio,Sandusky,1643 Cleveland Rd,0,7
136567,"May 17, 2014",California,Coachella,84000 block of Pedro Drive,1,3
136163,"May 17, 2014",District of Columbia,Washington,2200 block of Adams Pl NE,0,5
134823,"May 13, 2014",Georgia,Atlanta,Panther Trail and Childress Drive,0,5
134591,"May 12, 2014",Illinois,Chicago,3400 West 24th Street,0,4
134238,"May 11, 2014",Tennessee,Memphis,2517 Shasta,0,7
156823,"May 10, 2014",California,Sacramento,3031 Guadalajara Way,1,6
134044,"May 10, 2014",Georgia,Stone Mountain,1100 To Lani Farm Road,1,3
134052,"May 10, 2014",Georgia,Decatur,Shamrock Dr,2,3
131697,"May 4, 2014",Illinois,Chicago,500 West Erie Street,1,3
132897,"May 4, 2014",Colorado,Wheat Ridge,12100 W 44th,0,4
131998,"May 3, 2014",Arkansas,Jonesboro,2201 Moore Rd,4,4
132405,"May 3, 2014",Texas,Houston,Gears Rd and Trickey Rd,0,6
130933,"April 30, 2014",Illinois,Chicago,7200 South Phillips Avenue,0,4
130232,"April 29, 2014",Georgia,Kennesaw,1675 Airport Road,1,6
129730,"April 27, 2014",New York,Troy,Fourth Street,0,5
128871,"April 25, 2014",Tennessee,Memphis,2000 Chelsea Avenue,2,3
173109,"April 22, 2014",California,Los Angeles,6419 Brynhurst Avenue,1,3
127045,"April 20, 2014",Illinois,Montgomery,1300 block of Jackson St,0,6
127381,"April 20, 2014",Florida,Tampa,2902 N. 32nd St.,2,2
127413,"April 20, 2014",Illinois,Chicago,6600 South Michigan Ave,0,5
156828,"April 14, 2014",District of Columbia,Washington,1909 19th St SE,0,4
125028,"April 12, 2014",Louisiana,New Orleans,2100 block of Pauger Street,1,3
124146,"April 11, 2014",Indiana,Richmond,North 15th and H Streets,0,4
124131,"April 9, 2014",Illinois,Rockford,300 N Sunset Ave,0,5
123891,"April 9, 2014",Tennessee,Lookout Valley,Kellys Ferry Road and Kellys Ferry Place,3,1
123008,"April 7, 2014",Louisiana,New Orleans,500 block of South Alexander Street,0,4
123666,"April 6, 2014",Massachusetts,Springfield,90 Worthington St.,0,4
125863,"April 6, 2014",Oklahoma,Oklahoma City,Northwest 29th Street and Portland Avenue,0,4
122136,"April 5, 2014",Illinois,Chicago,4300 W Wilcox Street,1,5
122612,"April 5, 2014",Arizona,Phoenix,5400 block of W Palm Ln,1,3
122672,"April 5, 2014",California,Fairfield,Orchid Street ,0,4
121031,"April 2, 2014",Texas,Fort Hood,Motor Pool Road and Tank Destroyer Boulevard,4,16
120303,"March 30, 2014",North Carolina,Charlotte,4300 Sunset Road,0,5
120621,"March 30, 2014",Mississippi,Starkville,,0,5
117818,"March 23, 2014",Texas,Arlington,2700 Majesty Drive,1,3
117914,"March 23, 2014",California,San Francisco,Turk and Taylor,0,7
172722,"March 23, 2014",California,Long Beach,601 Long Beach Boulevard,1,3
117642,"March 21, 2014",South Carolina,North Charleston,7550 Dorchester Road,0,4
117591,"March 16, 2014",Texas,Beaumont,S 4th St,3,1
125855,"March 16, 2014",Georgia,Waynesboro,4960 Highway 80 West ,0,4
115012,"March 14, 2014",New York,Brooklyn,S. Second and Roebling Sts,0,4
113156,"March 9, 2014",Ohio,Fremont,531 W State St,3,1
113247,"March 9, 2014",Texas,Austin,4900 block of West Race Avenue,0,6
113255,"March 8, 2014",California,Richmond,1600 block of First Street,1,3
113214,"March 8, 2014",Illinois,Chicago,4900 West Race Ave,0,6
112415,"March 5, 2014",South Carolina,Pelzer,Law St,3,1
111095,"March 1, 2014",Pennsylvania,Pittsburgh,Hamilton Ave,1,4
111109,"March 1, 2014",Michigan,Detroit,7800 Gratiot Av.,0,4
109957,"February 25, 2014",Virginia,Glade Spring,33325 Graceland Ln,4,1
109142,"February 22, 2014",California,Wilmington,1200 block of W Papeete St,0,4
108691,"February 20, 2014",Indiana,Indianapolis,3400 block of South Parker,4,0
108649,"February 20, 2014",California,Alturas,300 W 1st St,4,2
107417,"February 16, 2014",Florida,Orlando (Pine Hills),4500 block of Charlene Terrace,1,6
107519,"February 16, 2014",Texas,Dallas,2600 block of South Harwood Street,1,7
107673,"February 16, 2014",Indiana,Fort Wayne,Lafayette Street and East Tillman Road,0,5
108659,"February 16, 2014",Texas,Fort Worth, 115 NW 25th St.,1,4
107433,"February 16, 2014",Florida,Jacksonville,1187 S. Edgewood Ave.,1,4
107403,"February 15, 2014",Nevada,Las Vegas,Sahara and Maryland ,0,5
106243,"February 12, 2014",California,Stockton,1101 E Lindsay St,1,3
106394,"February 12, 2014",Indiana,Gary,2220 block of Broadway,0,5
106481,"February 12, 2014",California,Oakland,37th and International ,1,3
104721,"February 7, 2014",Florida,Miami,Northwest 41st Street and 9th Avenue ,0,5
105010,"February 6, 2014",Louisiana,New Orleans,4600 block of Downman Road,0,4
104218,"February 5, 2014",Illinois,Chicago,6740 N Clark St,1,3
103698,"February 3, 2014",Indiana,Franklin,2100 block of Bridlewood Dr,3,2
101301,"January 27, 2014",North Carolina,Rocky Mount,821 Word Plaza,0,4
113665,"January 27, 2014",Washington,Seattle,2nd Avenue South and South Main Street,1,4
100434,"January 25, 2014",Illinois,Chicago,S Union Ave and W 51st St,1,4
100568,"January 25, 2014",Florida,Belle Glade,600 block of Covenant Drive,0,4
98836,"January 21, 2014",New Jersey,Newark,Springfield Avenue ,2,3
104902,"January 20, 2014",Virginia,Manassas,8509 Rixlew Ln,0,4
97407,"January 16, 2014",Oklahoma,Ardmore,H St NE and Martin Luther King Blvd,2,4
97365,"January 16, 2014",Utah,Spanish Fork,37 N. 630 West,5,0
96792,"January 14, 2014",California,Los Angeles,West 86th Street,0,4
96185,"January 13, 2014",Michigan,Detroit,800 block of Calvert St,0,4
95579,"January 12, 2014",Illinois,Elgin,300 block of North St,0,5
95500,"January 12, 2014",Louisiana,Tallulah,3600 block of Highway 80 W,0,6
95550,"January 12, 2014",Alabama,Huntsville,University Drive,0,5
95146,"January 11, 2014",Mississippi,Jackson,3430 W. Capitol Street,0,4
94514,"January 5, 2014",Pennsylvania,Erie,829 Parade St,1,3
92704,"January 3, 2014",New York,Queens,Farmers Boulevard and 133rd Avenue,1,3
92194,"January 1, 2014",Virginia,Norfolk,Rockingham Street and Berkley Avenue Extended,2,2
1017372,"December 31, 2017",Colorado,Littleton (Highlands Ranch),3404 E County Line Rd,2,6
1017422,"December 31, 2017",Illinois,Chicago,2335 Howard St,0,4
1018118,"December 31, 2017",New Jersey,Long Branch,635 Wall St,4,0
1015666,"December 27, 2017",Nevada,Las Vegas,3750 E Bonanza Rd,2,2
1015336,"December 26, 2017",Florida,Miami,NW 18th Ave and 86th Ter,0,5
1013983,"December 24, 2017",Mississippi,Vicksburg,1111 Mulberry Street,0,5
1014052,"December 24, 2017",Alabama,Troy,100 block of Chapman St,1,4
1014971,"December 23, 2017",Louisiana,Eunice,100 block of City Avenue,1,3
1013377,"December 23, 2017",Alabama,Birmingham,3rd Ave N and 9th St N,0,4
1011953,"December 21, 2017",Pennsylvania,Philadelphia,6600 block of Dorel St,1,3
1012704,"December 21, 2017",Louisiana,Lafayette,1500 block of N University Avenue,0,4
1009629,"December 16, 2017",Mississippi,Mc Cool (Mccool),Ferguson Rd,0,4
1008310,"December 15, 2017",California,Pacoima,13041 Jouett Street,0,5
1007054,"December 13, 2017",Ohio,Columbus,200 block of E Barthman Ave,1,3
1006150,"December 12, 2017",Kentucky,Louisville,17th and Gallagher Streets,0,4
1006446,"December 12, 2017",Texas,Garland,1301 Rivercrest Ln,0,4
1004454,"December 9, 2017",Massachusetts,Boston,Proctor St,0,4
1002514,"December 6, 2017",Illinois,Chicago,4620 N Broadway,0,4
1001566,"December 4, 2017",Pennsylvania,Pittsburgh,7200 block of Everton St,2,2
1000479,"December 3, 2017",Tennessee,Memphis,656 Marshall Ave,1,3
999969,"December 2, 2017",Michigan,Detroit,5200 Woodward Avenue,0,4
998843,"November 30, 2017",Michigan,Detroit,11000 block of Gunston,1,4
994323,"November 24, 2017",Mississippi,Brookhaven,119 Martin Street,1,6
995015,"November 24, 2017",Ohio,Cleveland,11618 Buckeye Rd,1,5
991017,"November 18, 2017",Minnesota,Minneapolis,3600 block of N Emerson Ave,0,4
990974,"November 17, 2017",Louisiana,New Iberia,900 Block of Mississippi St,0,4
989838,"November 16, 2017",Georgia,Columbus,1400 block of 15th Street,0,7
988824,"November 14, 2017",California,Richmond,900 Block of View Dr,2,2
987611,"November 14, 2017",California,Corning,17357 Stagecoach Rd,6,12
986236,"November 12, 2017",Indiana,Gary,4601 Melton Rd,0,7
987134,"November 12, 2017",California,Fresno,S Calvin Ave,0,5
986816,"November 12, 2017",Georgia,Atlanta,50 Lower Alabama St,2,2
985582,"November 11, 2017",Texas,Dallas,2532 Martin Luther King Jr Blvd,1,3
985832,"November 11, 2017",North Carolina,Fayetteville,2835 Bragg Blvd,1,5
986092,"November 11, 2017",Louisiana,New Orleans,Forstall St and Burgundy St,1,5
984822,"November 10, 2017",Ohio,Dayton (Trotwood),193 Olive Rd,0,4
984455,"November 9, 2017",Pennsylvania,Philadelphia,1800 block of Ringgold,0,4
980577,"November 5, 2017",Texas,Sutherland Springs,216 4th St,27,20
980269,"November 4, 2017",Texas,Austin,N Lamar Blvd and Masterson Pass,0,4
980192,"November 4, 2017",Ohio,Youngstown,2810 Market St,0,4
980060,"November 4, 2017",California,Santa Monica,1515 Ocean Avenue,1,3
979651,"November 3, 2017",Minnesota,Minneapolis,10th Ave S and E 24th St,0,4
980258,"November 3, 2017",California,Gardena,E 163rd St and S Main St,0,4
980004,"November 3, 2017",New York,Buffalo,147 Roosevelt Ave,0,4
980401,"November 3, 2017",Louisiana,Lacombe,27600 block of Mirmar Street,1,4
975600,"October 29, 2017",Texas,Austin,5500 block of Ave F,1,3
975817,"October 28, 2017",Ohio,Toledo,1327 N Huron St,0,4
974704,"October 28, 2017",Virginia,Petersburg,N Sycamore St and Franklin,1,3
974051,"October 27, 2017",Kentucky,Louisville,1716 Prentice St,0,6
974411,"October 27, 2017",California,San Francisco,1100 block of Fillmore,0,4
966895,"October 23, 2017",California,Clearlake Oaks,13000 block of Anchor Village,2,3
966153,"October 22, 2017",Connecticut,Hartford,Wethersfield Avenue and Elliott Street,0,4
966178,"October 22, 2017",Alabama,Lanett,1606 19th St Sw,2,7
965066,"October 21, 2017",Florida,Tampa,400 block of E Nordica St,0,4
965077,"October 21, 2017",Florida,Jacksonville,164 E Eubanks St,0,4
965756,"October 21, 2017",Tennessee,Nashville,1277 12th Ave S,0,4
965251,"October 21, 2017",Pennsylvania,Chester,1200 block of W Carlas Ln,0,4
962359,"October 18, 2017",Maryland,Edgewood,2111 Emmorton Park Rd,3,3
962155,"October 17, 2017",New York,Brooklyn,181 Martense St,0,4
962623,"October 16, 2017",Mississippi,Meridian,5th Street,1,3
960036,"October 15, 2017",Texas,Houston,6233 Gulfton St,2,2
959126,"October 15, 2017",Arizona,Phoenix,107th Ave and Camelback Rd,1,3
957980,"October 12, 2017",California,Aliso Viejo,6 Asbury Ct,2,2
957562,"October 11, 2017",Ohio,Pedro,15497 SR 93,4,0
956942,"October 10, 2017",California,San Francisco,25th St and Treat Ave,0,4
955268,"October 9, 2017",Texas,Houston,3352 Old Spanish Trail,0,5
954428,"October 7, 2017",Arizona,Phoenix,87th Ave and Thomas Rd,0,4
953156,"October 6, 2017",Illinois,Chicago,8000 block of S Marshfield,0,5
952720,"October 5, 2017",Arizona,Casa Grande,400 block of W 13th Street,4,0
952220,"October 3, 2017",Florida,Miami,2051 NW 65th St,0,4
945990,"October 1, 2017",Kansas,Lawrence,1000 block of Massachusetts St,3,2
946496,"October 1, 2017",Nevada,Las Vegas,3950 Las Vegas Blvd S,59,441
946138,"September 30, 2017",Tennessee,Memphis,800 block of Kerr Avenue,1,3
944448,"September 28, 2017",Louisiana,New Orleans,2001 N Rocheblave St,1,3
942628,"September 26, 2017",Pennsylvania,Philadelphia,100 block of Pastorius St,1,3
942522,"September 26, 2017",Tennessee,Memphis,2531 Chelsea Ave,0,4
942830,"September 26, 2017",Maryland,Baltimore,3200 block of Lyndale Ave,2,2
941144,"September 24, 2017",Maryland,Baltimore,500 block of E. Patapsco Avenue,0,4
940554,"September 24, 2017",Tennessee,Antioch,3890 Pin Hook Rd,1,8
940644,"September 24, 2017",New York,Syracuse,1226 E Fayette St,0,4
1974755,"September 24, 2017",Pennsylvania,Philadelphia,3400 block of H St,0,4
941257,"September 24, 2017",New Jersey,Mays Landing,6000 block of Hoover Dr,1,3
939834,"September 23, 2017",California,Bakersfield,818 Real Rd,1,4
940068,"September 23, 2017",Illinois,Danville,Seminary St and Jackson St,0,5
940142,"September 23, 2017",Connecticut,Hartford,1164 Albany Ave,2,2
939482,"September 20, 2017",Indiana,Gary,4300 block of 23rd Ct,0,5
936028,"September 17, 2017",Michigan,Detroit,5000 block of Stanton Street,1,3
935928,"September 17, 2017",Virginia,Petersburg,300 Mistletoe St,1,4
934036,"September 16, 2017",South Carolina,Columbia,920 Lady Street,0,8
933957,"September 15, 2017",Illinois,Chicago,4700 block of S Fairfield Ave,4,0
932526,"September 13, 2017",Tennessee,Memphis,1000 block of Morehead St,1,5
932181,"September 13, 2017",Washington,Rockford,14626 S Jackson Rd,1,3
932906,"September 13, 2017",Pennsylvania,York,400 block of S Duke St,0,4
932619,"September 13, 2017",Pennsylvania,Philadelphia,3100 block of N 2nd St,0,4
